text,hate
Are bhajans played daily.??  5 times a day..?? 🤔,1
@zainabsikander Perfectly said.... 100% agreed to Gavaskar Sir.   Media has habit to sansitize every pity things just for #TRP    #DhoniKeepsTheGlove @aajtak  @sardanarohit,1
"Tats sad no mother thinks her baby as puppy but few of them don't have choice to stay at home, every mother tries to be their babies for max time possible. This new law will certainly make mothers more available for their child .",1
Speechs wont work if ill thoughts still around you.... Political parties are exempted under income tax law to deposit old currency notes in their bank accounts....,1
@timesofindia Mamta is doing wrong. But where was IMA when there were incidents of Dr. assaults in different states? Here is a list: #DoctorsFightBack #DoctorsStrike #DoctorStrike #DoctorsProtest     https://t.co/lnPeICZWM6,0
Big bazar is also Modi agent as per Kejriwal 😂😂😂,0
Democrats to Scrutinize Ex-Lobbyist’s Role in Trump’s Arms Sales to Gulf Nations #Resist #ResistTrump #FuckTrump https://t.co/Md6xsF1aC0,0
(y) good work : (y),0
he is great actor but not match as a bheema,1
This is why we need #BernieforPresident #Bernie2020 #FuckTrump https://t.co/82s11Z7URr,0
"Stupid people, u need to leave Pakistan and surrender yourself with Indian Army, so you can live, live in future.",1
Yeah I was infact wondering if she even understands what neo feminism is all about . I doubt if she understands the concept completely.  Having said that I also feel there is too much scrutiny she is being subjected to. I don't understand why is everone obsessing over her so much .Leaving her alone probably would be the right thing to do ?,1
And Pakistani Army came and beheaded our soldiers and you were busy with Erdogan your look alike,1
"Last evening my colleague and I had our first Info Abend targeting African mirgants at Görlitzer Park. We did it in English, German and Arabic. Good vibes, laughter, and food. Everyone has the right to health services & information #healthrights #refugeesarewelcome #görlitzerpark",0
Wish @MamataOfficial is listening    Don't spare criminals: Eminent Muslims from Bengal tell CM Mamata Banerjee - India News,0
Oh it's a girl? Congrats. Wait! It's a boy?!?!?!!?! That's AMAZING!!! You guys are so lucky!!!!!! The father must be so proud!!! #DickHead #Douchebag #babygirl #babyboomers #babysharkdododododododododododdodododoododododddodododododododododdidodi,0
"Farishta, Jamna, Their religions are different but their fates r similar. let's completely detach rape from Hindu Muslim communalism. Rape is rape, let's look into this menace as a social evil. The country must unite to demand capital punishment for #Rapist.  #Justiceforjamna https://t.co/M714nAg08r",1
At the same time not against polticaly corrupt and black money holders.fake people fake slogans.,1
"#GandiNaaliAbuse | Where an MP says that he will cut the throat of Muslims, then everyone is silent on that: Waris Pathan- MLA, AIMIM & Advocate",1
indian bike in next lvl hope for the best  (Y),0
"Lies, rumors, discrimination & deception etc have become a part of food for indian media houses......this is unfortunate and alarming! Now they should join prostitution industry",1
@piersmorgan Dont watch it then. #dickhead,0
Qamar Ghauri your sir name is not Ghauri but it is Aghori because you bagger depend upon aid of world community and Pakistan is also beggary of Hindu religion,1
Just wait and see. We will respond very hard this time at our place and time.,1
"@realDonaldTrump @MarshaBlackburn Oh goodie, another Republican who doesn’t give a sh!t about the law.    #LockTrumpUp  #ImpeachmentInquiryNow   #ImpeachTrump   #ImpeachBarr   #ImpeachMnuchin  #TrumpIsATraitor",0
"If this becomes a reality , we could save a lot of time & money .",0
"8505050887#get_immediately_solution_for_your_all_problem_contact_now & whatsapp
Vashikaran, love marriage, love problem, family problem, husband wife problem, business problem, child problem
#solution_with_100% guarantee",0
Maybe they wanna showcase dominar as the DEVIL these guys are scared off,1
Block the movement of trucks with cows and buffaloes into kerala from tamil.nadu and karnataka ... kerala does.not have enough cattle to feed it's population.....,1
"BJP ‘collecting garbage’, says Mamata Banerjee on defecting TMC leaders via @htTweets https://www.hindustantimes.com/india-news/bjp-collecting-garbage-says-mamata-banerjee-on-defecting-tmc-leaders/story-Mamata … Banerji is honest to say that TMC men are corrupt and they are like garbage.",1
Throw that kejriwal out. His arrogant behaviour costed the party alot. they lost their diginity now.,1
At least they told both of you to basically fuck off ,1
Anna ....my foot . ...,1
"Though the IITians and other talented people leave our country to get to do what they want, their base (family) is in India. Hence in spite of spending a part of income they earn, they save and remit it to India. Such remittances serve a great purpose of balancing the current account deficit of our country. Hence though they aren't contributing directly at the beginning of their careers, they benefit their families and indirectly our country. Reverse brain drain is a phenomenon that is widespread today. A lot of these talented people left our country because they could not find the right environment in our country to nurture their interest or talent. Nowadays a lot of them return back with distinctions that are recognised throughout the world and are contributing by helping to set up the atmosphere so that in the future, our people need not go abroad.",1
So stupid of them. Hahahaha,1
Actually this is not expected from u.. u must have used proper words Becoz these types of problems are faced by everyone whatever it is from Mandir aur Masjid..so plz be careful  about ur statements,1
"And actually she has never had a career, so her perspective isn't of consequence yet ... her choices are her own but just because a successful actress like Kareena Kapoor works after having a baby and Mrs Shahid Kapoor doesn't it really is of no consequence ... work is not always just a necessity ... it is often a passion and this person obviously hasn't found it yet ... good luck to her :P",1
Big lead for BJP in Uttar Pradesh in early counting,0
Gopal Tripathi.there must be a ban on all noise pollution including the night long devinavaratri bhajans where sonu Nigam sells his sound pollution causing voice for money.at that time sonu Nigam and his ilk forget their devotion is other 's sound pollution. Azan lasts only 2 or 3 min.usually very few non Muslims live in the vicinity of a masjid.,1
instead of showering on medalist..they could use the money to cure the curse of unemployment,0
these posters are not valid to protest against rape offence... you should take more sensible way to protest..,0
This is Hindu terrorism .You have defeat this .And this is lesson for Indian Muslims .who became coward puppet after partition .,1
So humble you are Mukesh Ambani.. your  pieces about Entrepreneurs  should inspire a generation.. 🙏👍👌,0
Now he works bjp,1
"Cashless is best decision result will be seen after total cashless
Govt servant will suffer while demanding bribe",1
The #GOP loves how stupid #trump is! They are thriving off of it. #ImpeachmentNOW #Collusion #fucktrump #fuckthegop,0
Hi SIR TELL ME ABOUT MARUTHI? CAN WE EXPECT SOME CORRECTION???.,0
#Mohammadi #toursandtravels #jodhpur #nagour #Rajasthan should be #banned and there #license should be #cancelled .#share #mother #murderer #Saudi_Arabia #India,1
"She is very emotional person, doesn't suit her in police uniform.",1
DP...pic.saw..with Ranveer..her hair style with song..amazing!! God bless her!!★,0
With change in American Politics we should expect slump in pharma sector,0
it's good u r a home maker..but ur thought process needs to be refined..it stinks,1
Lmfao look #rocky really is a #dickhead @BroteinShake4 @dontatme210 https://t.co/DsDrWFp3gc,1
To big players world,0
"The #GOP has “jettisoned principle, patriotism &amp; honor. Americans of goodwill must run #Trump’s party out of power up &amp; down the ticket in #2020 — &amp; shun those who carried their water when the country needed #truth-tellers.”    #TrumpIsATraitor  #ComplicitGOP https://t.co/LzfuuSjdeb",0
Rel industries always falls after good results but today it went opp.,0
If Mr MODI is so keen on eradicating corruption and black money than why doesn't he stop cash funding to political parties and why political parties are not brought under RTI,1
ask straight question madam -whether GVK  is congress or BJP or telungu desam or trs congress ....you people are just hitting around the bush .,0
"We keralites love and respect every religion and culture. Irrespective of religion and political preference, everyone in the state will be against this fascism. If BJP seriously want a political stand in Kerala,then they have to play by our rules. Seriously these kinds of gimmicks are not gonna work with us.",1
Woh ket bhi deta hai aur india wale sochte rehte hai shame on u kerwahi bolte rehte hai ki kerenge kuch kerke raazi ni,1
Beat me to it.    #DoucheBag https://t.co/MSB8ympIsg,0
Haha trying to legitimize their claim and show the world they are victims. Bloody fanatic media,1
Now I am watching @ndtvindia and what @Drmanugautam is saying is really relatable! Both central govt. And state govt. Of every state should understand this problem. #StandWithDoctors  #StopViolenceAgainstDoctors  #DoctorsFightBack,0
@natacchelpline Who does the voice over for your advert because he has the exact same voice as Ian Huntley and I think of him every time I hear it. #murderer #NationalAccidentHelpline,0
"Most modi bhakts are biggest c and hate mongers of the era how comes pk was insult to Hindu God? 
It was a lesson for the people to not fall in the trap of dhongi babas and yogi all.",1
@Nidhi @ShekharGupta There are far more important issues to be reported n sorted out. Leave this to the @BCCI which will definitely come up a better solution than you two poking your noses unnecessarily.  #DhoniKeepsTheGlove #DhoniKeSaathDesh #JusticeForTinkleSharma,0
